placename	latitude	longitude
West Bank	19.38197	-81.39281
Dura	28.8	49.23333
Hebron	31.52935	35.0938
Tulkarem	32.31156	35.0269
Gaza Strip	31.50161	34.46672
Israel	31.5	34.75
Nablus	32.22111	35.25444
Red Sea	52.26682	-113.802
United States	39.76	-98.5
United Kingdom	54.75844	-2.69531
Yemen	15.5	47.5
Iran	32	53
Gaza	31.50161	34.46672
Us	49.1	1.96667
Sanaa	15.35472	44.20667
Saudi Arabia	25	45
Aden	12.77944	45.03667
Tel Aviv	32.08088	34.78057
Uk	54.75844	-2.69531
Palestine	31.92157	35.20329
Africa	7.1881	21.09375
Marib	15.6213	46.0111
Middle East	33.13906	35.85869
United Arab Emirates	23.75	54.5
Turkey	39	35
Jordan	31	36
Qatar	25.5	51.25
Uae	12.26667	-14.7
Charleston	32.77632	-79.93275
South Carolina	34.00043	-81.00009
Gaza City	31.50161	34.46672
Doha	25.28545	51.53096
Hong Kong	22.27832	114.17469
South Africa	26.5	-81
State Of Palestine	30.25	79.25
Lebanon	33.83333	35.83333
Hague	52.51118	-106.41859
Pretoria	-25.74486	28.18783
Uganda	1.25	32.5
China	35	105
Russia	60	100
Kuwait	29.5	47.75
Ukraine	49	32
Canada	60.10867	-113.64258
Montreal	45.50884	-73.58781
Milton Ontario	52.04172	-0.75583
Jabalia	31.5272	34.48347
Ottawa	45.41117	-75.69812
Egypt	27	30
Rafah	31.29722	34.24357
Toronto	43.70643	-79.39864
Calgary	51.05011	-114.08529
Afghanistan	33	66
Austria	47.33333	13.33333
Australia	-25	135
Finland	64	26
Germany	51.5	10.5
Italy	42.83333	12.83333
Japan	35.68536	139.75309
Netherlands	52.25	5.75
Iceland	65	-18
Sweden	62	15
Switzerland	47.00016	8.01427
Romania	46	25
Washington Dc	47.50012	-120.50147
Jerusalem	31.76904	35.21633
Gretna	41.14083	-96.23974
Louisiana	31.00047	-92.0004
New Orleans	29.95465	-90.07507
Mirandacleland	NA	NA
East Jerusalem	31.78336	35.23388
Scotland	56	-4
Ireland	53	-8
Norway	62	10
October7	NA	NA
Syria	35	38
Jenin	32.45943	35.30086
Ramallah	31.89964	35.20422
Abwein	32.03144	35.19992
Qalqilya	32.18583	35.06583
Jericho	31.86667	35.45
Bahrain	26.03333	50.55
Denmark	56	10
New Zealand	-42	174
South Korea	36.5	127.75
Spain	40	-4
France	46	2
Belgium	50.75	4.5
Czech Republic	49.75	15
Hungary	47	20
Berlin	52.52437	13.41053
Paris	48.85341	2.3488
Slovenia	46.08333	15
Brussels	50.85045	4.34878
Carogennez	NA	NA
Flanders	51	4.5
Wallonia	50.5	4.75
Ein Alhilweh	32.62899	34.94483
Basel	47.55839	7.57327
Ofer	32.62257	34.98302
Jordan Valley	42.97404	-117.0543
Area C	-25.55132	-54.61622
Kadri	3.34322	30.99265
Aljiftlik	32.15691099	35.47115042
Farsiya	35.95584	42.96643
Makhoul	33.40788	37.3558
Tubas	32.32091	35.36989
Areas A	-16.39889	-71.535
Beirut	33.89332	35.50157
Washington	47.50012	-120.50147
Kerman	30.28321	57.07879
Islamic Republic	32	53
Nur Shams	51.1801	71.44598
Naqoura	33.11806	35.13972
Deir Elbalah	35.33588	40.14084
Nuseirat	31.44861	34.3925
Dc	38.91706	-77.00025
America	26.0173	-104.41406
Strip	-27.51667	27.05
West	42.77268	-116.9579
London	51.50853	-0.12574
Tel Israel	32.25327	34.87034
Myanmar	21	96
Kuala Lumpur	3.1412	101.68653
Malaysia	2.5	112.5
Indonesia	-5	120
Jakarta	-6.21462	106.84513
Johannesburg	-26.20227	28.04363
Vienna	48.20849	16.37208
Amman	31.95522	35.94503
Manchester	42.99564	-71.45479
India	22	79
Hyderabad	17.38405	78.45636
Colombo Kollupitiya	-76.51667	-144.73333
Farhana	24.94630496	67.05436771
Khan Younis	31.34018	34.30627
Abudaqa	43.23765714	-79.87824553
Dahiyeh	33.90081584	35.50700374
Beirut Shatila	33.82093	35.48839
Earth	0	0
Lama Khater	9.55111	1.18611
Kiryat Arba	33.20733	35.57212
Britain	54	-2
Republic Of Yemen	24	121
Hodeidah	14.79781	42.95452
Saada	16.94021	43.76393
Taiz	13.57952	44.02091
Hajjah	15.69425	43.60582
Europe	48.69096	9.14062
Asia	29.84064	89.29688
Sudan	16	30
Iraq	33	44
Syria Aleppo	33.26954	35.19626
Mariupol	47.09514	37.54131
Dublin	53.33306	-6.24889
Moscow	55.75222	37.61556
Global South	-34.98943	138.51674
Hezbollah	29.8628	56.8848
Arura	9.8694	76.30498
Deir Qaddis	35.33588	40.14084
El Arish	31.13159	33.79844
Hamas	51.68033	7.82089
Aizawl	23.72894	92.71791
Manipur	25	94
Kangpokpi	25.15114	93.9695
Mizoram	23	93
Kingdom Of Judah	20.75028	-156.50028
Bnei Menashe	32.08074	34.8338
Kolasib	24.22388	92.67869
Bethlehem	40.62593	-75.37046
Nairoukh	31.88336992	35.73171965
Shawawra	24.936148141778272 67.10760345320355	67.10760345
Tehran	35.69439	51.42151
X	19.22364	-70.53051
Madrid	40.4165	-3.70256
Oman	21	57
Gulf	-7.7246	145.08545
Bani Suheila	31.34337	34.32337
Alfukhari	NA	NA
Damascus	33.5102	36.29128
Baghdad	33.34058	44.40088
Near East	17.97421	-76.80663
Serbia	44.81892	20.45998
Bosniaherzegovina	43.88464656	18.70817933
Srebrenica	44.10748	19.29669
Algeria	28	3
State Of Israel	20.5	84.41667
Gaza Deir Elbalah	35.65832	65.18016
Motaz	24.82721834	67.03357448
Azaizamotaz9	NA	NA
Yugoslavia	44	19.75
Ocean Jazz	-10	70
Gulf Of Aden	12	48
Philippines	13.40882	122.56155
Cape Of Good Hope	37.52777	-108.02785
Pakistan	30	70
Erbil	36.19117	44.00943
Pakistan Balochistan Province	41.22825	33.15674
Iran Sistanbaluchestan Province	32	53
Rask	29.49114	57.18543
Sistanbaluchestan	29.53625964	61.29803903
Strait Of Hormuz	26.56667	56.25
Persian Gulf	27	51
Davos	46.80429	9.83723
Balochistan	28.47849	65.64355
Netanyahu	32.92534545	35.09002844
Supernova	24.86596467	67.06263297
Houthis	NA	NA
Babelmandeb Strait	6.8127	122.0236
Dhamar	14.54274	44.40514
Albayda	18.86139	42.07078
Arabian Sea	25	45
Bab Almandeb Strait	30.73222	56.7175
Alkarama	NA	NA
Beruit	33.89462624	35.50222146
Yemen Coast	12.79891	45.03313
Maghazi	31.42234	34.38501
Manchester City	42.99564	-71.45479
Barcelona	41.38879	2.15899
Chile	-30	-71
Mexico	23	-102
Santiago	-33.45694	-70.64827
Bangladesh	24	90
Bolivia	-17	-65
Comoros	-12.23333	44.44553
Djibouti	11.83333	42.5
Haifa	32.81841	34.9885
Caesarea	38.73222	35.48528
Kefar Sava	32.175	34.90694
Rehovot	31.89421	34.81199
Beersheba	31.25181	34.7913
Khan Yunis	31.34018	34.30627
Mawasi	32.48133	68.85529
Dearborn	42.32226	-83.17631
Michigan	44.25029	-85.50033
Chicago	41.85003	-87.65005
New Delhi	28.62137	77.2148
India Basmati	22	79
North America	46.07323	-100.54688
North Africa	32.95337	9.97559
Alshifa	25.74474501	67.01816153
Welch	30.23604	-92.82265
Kampala	0.31628	32.58219
Peru	-10	-75.25
Colombia	4	-73.25
South Sudan	7.5	30
Swaziland	-26.5	31.5
Lisbon	38.71667	-9.13333
Portugal	39.6945	-8.13057
Kiryat Shmona	33.20733	35.57212
Blue Line	40.88291	-123.98395
Singapore	1.36667	103.8
Mediterranean	35.78	19.33
Indian Ocean	-10	70
Bahaa Eldin Abu Ras	33.53699	36.31307
Bahaa	33.74537332	35.45433491
Marshall Islands	7.113	171.236
Morocco	28.5	-10
Rabat	34.01325	-6.83255
Western Sahara	10.01211	105.83224
Marrakesh	31.63416	-7.99994
Maghreb	30	5
Alwalaja	31.73030561	35.15883035
Gilo	-7.45	-40.83333
Har Gilo	31.72119	35.1724
Al Rayyan	25.29194	51.42444
